,Unnamed: 0,Name,client,split_seed,forest_seed,c_central,cindex_on_global_model,global_c_index_mean,global_c_index_weighted,training_samples,test_samples,concordant_pairs
0,0,2_even,1,1,1,0.5873417721518988,0.5600750938673341,0.6028445644775267,0.5988648375302885,162.0,54.0,464.0
1,1,2_even,2,1,1,0.5873417721518988,0.6456140350877193,0.6028445644775267,0.5988648375302885,162.0,54.0,385.0
2,2,2_even,1,1,2,0.5880650994575045,0.5588235294117647,0.6057275541795666,0.6020173184541324,162.0,54.0,457.0
3,3,2_even,2,1,2,0.5880650994575045,0.6526315789473685,0.6057275541795666,0.6020173184541324,162.0,54.0,390.0
4,4,2_even,1,1,3,0.5880650994575045,0.5613266583229036,0.6043475396877676,0.6006043640743766,162.0,54.0,456.0
5,5,2_even,2,1,3,0.5880650994575045,0.6473684210526316,0.6043475396877676,0.6006043640743766,162.0,54.0,383.0
6,6,2_even,1,1,4,0.5869801084990959,0.5600750938673341,0.6028445644775267,0.599138544775941,162.0,54.0,464.0
7,7,2_even,2,1,4,0.5869801084990959,0.6456140350877193,0.6028445644775267,0.599138544775941,162.0,54.0,390.0
8,8,2_even,1,1,5,0.5905967450271248,0.567584480600751,0.6074764508266912,0.6035526504765988,162.0,54.0,469.0
9,9,2_even,2,1,5,0.5905967450271248,0.6473684210526316,0.6074764508266912,0.6035526504765988,162.0,54.0,385.0
10,10,2_even,1,1,6,0.5880650994575045,0.5600750938673341,0.6028445644775267,0.5990394514339152,162.0,54.0,459.0
11,11,2_even,2,1,6,0.5880650994575045,0.6456140350877193,0.6028445644775267,0.5990394514339152,162.0,54.0,384.0
12,12,2_even,1,1,7,0.5869801084990959,0.5613266583229036,0.6034703467053115,0.5995488491997635,162.0,54.0,464.0
13,13,2_even,2,1,7,0.5869801084990959,0.6456140350877193,0.6034703467053115,0.5995488491997635,162.0,54.0,385.0
14,14,2_even,1,1,8,0.5924050632911393,0.5688360450563203,0.6098566190193883,0.6061362607212065,162.0,54.0,463.0
15,15,2_even,2,1,8,0.5924050632911393,0.6508771929824562,0.6098566190193883,0.6061362607212065,162.0,54.0,386.0
16,16,2_even,1,1,9,0.5855334538878842,0.5563204005006258,0.6009672177941725,0.5971890008360774,162.0,54.0,455.0
17,17,2_even,2,1,9,0.5855334538878842,0.6456140350877193,0.6009672177941725,0.5971890008360774,162.0,54.0,384.0
18,18,2_even,1,1,10,0.58625678119349,0.5663329161451814,0.6050962826339943,0.6016719569724384,162.0,54.0,462.0
19,19,2_even,2,1,10,0.58625678119349,0.643859649122807,0.6050962826339943,0.6016719569724384,162.0,54.0,387.0
20,20,2_uneven,1,1,1,0.584629294755877,0.5833333333333334,0.5901912568306011,0.595377810191204,81.0,27.0,126.0
21,21,2_uneven,2,1,1,0.584629294755877,0.5970491803278688,0.5901912568306011,0.595377810191204,243.0,81.0,908.0
22,22,2_uneven,1,1,2,0.5842676311030741,0.5722222222222222,0.5833242258652094,0.5917445861161708,81.0,27.0,125.0
23,23,2_uneven,2,1,2,0.5842676311030741,0.5944262295081967,0.5833242258652094,0.5917445861161708,243.0,81.0,910.0
